"","Phylum","Class","Order","Family","Genus","Alfalfa_Early","Alfalfa_Late","Compost_Early","Compost_Late","Mix_Early","Mix_Late"
"Otu00064","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",5.60781471765401,4.94940702420891,NA,NA,4.35635762230472,NA
"Otu00138","Verrucomicrobia","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified",4.23682772307243,NA,NA,NA,NA,NA
"Otu00151","Verrucomicrobia","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified",4.357866966687,NA,NA,NA,NA,NA
"Otu00222","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina",4.1388172736221,NA,NA,NA,NA,NA
"Otu00329","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio",4.02102233423764,NA,4.45155743801419,NA,NA,NA
"Otu00477","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis",4.30806313368526,NA,5.25068580535968,NA,4.37042963085848,NA
"Otu00490","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",4.01169859859668,NA,NA,NA,NA,NA
"Otu00494","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",5.94011355232849,4.05131244603711,NA,NA,5.15814399936183,NA
"Otu00614","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified",6.02387740711197,4.14903526124003,NA,NA,NA,NA
"Otu00666","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",5.17445904141291,4.28026755995648,NA,NA,4.18208793396045,NA
"Otu00717","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium",4.6983935417758,NA,NA,NA,NA,NA
"Otu00728","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified",5.01417469988923,NA,NA,NA,4.82090800047754,NA
"Otu00808","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus",4.63761727859174,5.31624276705552,NA,NA,4.7821814309017,4.80235347115444
"Otu00832","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Brevibacillus",5.3078617965704,6.49718520222051,NA,NA,NA,NA
"Otu00847","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified",4.34118359483407,4.85562365679114,4.51658058358435,4.52900039148273,4.24429016840485,4.5413489753616
"Otu00900","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",4.29776283098121,NA,NA,NA,NA,NA
"Otu00933","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",4.82332971139424,NA,NA,NA,NA,NA
"Otu00953","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",4.4916683202465,4.38129082105973,NA,NA,NA,NA
"Otu00995","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Cellulomonas",4.86922030900888,NA,NA,NA,4.08850827819199,NA
"Otu01028","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonadaceae_unclassified",4.01053735530412,NA,NA,NA,NA,NA
"Otu01189","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aurantimonadaceae_unclassified",4.35670316614715,NA,NA,NA,NA,NA
"Otu01203","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Byssovorax",4.34764608875627,5.0644418025067,NA,NA,NA,NA
"Otu01264","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Sporocytophaga",4.58789509045695,NA,4.69980346682584,NA,4.5856790664379,NA
"Otu01303","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Byssovorax",4.43512886220771,NA,NA,NA,NA,NA
"Otu01343","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga",4.35385815439749,NA,NA,NA,4.1981884788901,NA
"Otu01345","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",5.06374843586863,NA,NA,NA,4.52722662433335,NA
"Otu01522","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",5.09822089490245,NA,NA,NA,NA,NA
"Otu01556","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_unclassified",4.92636083661724,NA,NA,NA,NA,NA
"Otu01566","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",4.62780942959804,NA,NA,NA,NA,NA
"Otu01574","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified",4.21137280529323,NA,NA,NA,NA,NA
"Otu01691","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",4.15561328882644,NA,NA,NA,NA,NA
"Otu01694","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",4.63032286264444,NA,NA,NA,NA,NA
"Otu01743","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",4.0248258698546,4.37716708702835,NA,NA,NA,NA
"Otu01805","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",4.673303032246,NA,NA,NA,NA,NA
"Otu01822","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",4.64228877327786,NA,NA,NA,4.52286755785917,NA
"Otu01869","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",4.26131485359333,NA,NA,NA,NA,NA
"Otu01899","candidate_division_WPS-2","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified",4.0144099330703,NA,NA,NA,4.01473942287793,NA
"Otu02001","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter",4.8148158823345,NA,NA,NA,NA,NA
"Otu02049","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",4.25493906569025,NA,NA,NA,NA,NA
"Otu02079","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",4.57505641537568,NA,NA,NA,4.74755068888963,NA
"Otu02163","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",4.25047769966126,NA,NA,NA,4.79941757320087,NA
"Otu02291","candidate_division_WPS-2","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified",4.08049219904009,NA,NA,NA,NA,NA
"Otu02499","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclassified",4.12359318668915,NA,NA,NA,NA,NA
"Otu02518","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclassified",4.71516524905629,NA,NA,NA,NA,NA
"Otu02922","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Shinella",4.0985105094269,NA,NA,NA,NA,NA
"Otu00098","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis",NA,4.56300511530889,NA,NA,NA,NA
"Otu00400","Bacteroidetes","Bacteroidetes_incertae_sedis","Ohtaekwangia","Ohtaekwangia_unclassified","Ohtaekwangia_unclassified",NA,4.46179563900945,NA,NA,NA,NA
"Otu00544","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,4.0162841424507,NA,NA,NA,NA
"Otu00608","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified",NA,5.45516297795403,NA,4.79120400810623,NA,4.52578895216874
"Otu00889","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",NA,5.20876384791274,NA,NA,NA,4.22954700249168
"Otu00960","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,4.35447438016552,NA,4.19669584001511,NA,4.64917521856712
"Otu01201","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,4.40494059048304,NA,4.37952663023265,NA,4.69790590558986
"Otu01202","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified",NA,4.94853392038545,NA,4.11435599498848,NA,NA
"Otu01296","Acidobacteria","Acidobacteria_Gp10","Gp10","Gp10_unclassified","Gp10_unclassified",NA,4.47434000954521,NA,4.0530863664838,NA,4.39660554055005
"Otu01355","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified",NA,4.44642240478847,NA,NA,NA,4.17248849185724
"Otu01408","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,4.53957593842152,NA,4.05585944238016,NA,4.76175198301048
"Otu01600","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia",NA,4.11890161737589,NA,NA,NA,NA
"Otu01669","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,4.2313209293056,NA,NA,NA,NA
"Otu01985","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,4.51281141644928,NA,NA,NA,NA
"Otu00022","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Sphaerobacter",NA,NA,7.33720999312725,6.38825636166046,5.70009157990589,4.56373508033176
"Otu00030","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,6.75248843484541,5.51422098161598,4.93406320456574,NA
"Otu00092","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Glycomyces",NA,NA,5.83155946569293,NA,4.42591727773019,NA
"Otu00103","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified",NA,NA,5.09681263378323,6.14064357452446,4.48985306701638,4.77142877800592
"Otu00130","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Thermobifida",NA,NA,6.56811263775449,5.2322891780685,4.89335281372127,4.33940591547653
"Otu00139","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,6.19408746228163,5.01172144292514,5.92560490738668,NA
"Otu00277","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,4.63998528532524,4.53494220694577,4.15805349088746,NA
"Otu00279","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified","Actinomycetales_unclassified",NA,NA,4.05720350806719,NA,NA,NA
"Otu00281","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",NA,NA,4.72253118110822,4.27142390006556,NA,NA
"Otu00331","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutaceae_unclassified",NA,NA,4.24341335491259,4.30409359204183,NA,NA
"Otu00378","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,NA,6.59865732156465,5.51744243990507,5.24422794296239,NA
"Otu00395","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Haliea",NA,NA,4.72226332773366,4.89695481880833,NA,NA
"Otu00511","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio",NA,NA,4.63400568207125,NA,NA,NA
"Otu00655","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,6.78625925931517,5.73890939392779,4.96984234881887,NA
"Otu00737","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,5.03615863621997,4.05213337887781,4.20595754789617,NA
"Otu00887","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,4.68406247704795,NA,NA,NA
"Otu00985","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,NA,4.91450177387087,NA,NA,NA
"Otu01200","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,NA,5.16934706474698,NA,4.35986824535582,NA
"Otu01380","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus",NA,NA,5.63620384435142,NA,4.48716342289207,NA
"Otu01466","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio",NA,NA,4.4392998863345,NA,NA,NA
"Otu01490","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,NA,4.85886034960683,NA,NA,NA
"Otu01599","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA,NA,4.27376199135279,NA,4.14872428248597,NA
"Otu01662","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",NA,NA,4.78458773376311,NA,4.05571396520086,NA
"Otu01792","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Cohnella",NA,NA,4.70309082793552,NA,NA,NA
"Otu02130","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified",NA,NA,4.27315846461692,NA,NA,NA
"Otu02253","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,NA,4.73675684842211,NA,NA,NA
"Otu03173","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,NA,4.02267470433597,NA,NA,NA
"Otu00072","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,NA,NA,4.22404488699689,NA,NA
"Otu00107","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,NA,5.07359128362404,NA,4.68471089832206
"Otu00121","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,5.09162456579278,NA,NA
"Otu00233","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,NA,4.37062735001983,NA,NA
"Otu00258","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.07905706478143,NA,NA
"Otu00819","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified",NA,NA,NA,4.46333931335063,NA,NA
"Otu00952","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",NA,NA,NA,4.24986686324597,NA,NA
"Otu01212","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",NA,NA,NA,5.43202021555522,NA,4.41582188636858
"Otu01232","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",NA,NA,NA,5.73191869585,NA,4.73718548305518
"Otu01233","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclassified",NA,NA,NA,5.70223306084502,NA,5.14684171304079
"Otu01237","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.19435268304665,NA,NA
"Otu01252","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,NA,4.72492003974545,NA,4.0048390071624
"Otu01298","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Rhodopirellula",NA,NA,NA,5.25599626680868,NA,5.07899508791995
"Otu01307","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",NA,NA,NA,4.6192923819023,NA,NA
"Otu01352","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis",NA,NA,NA,5.75785252886811,NA,4.30328334343268
"Otu01448","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Haliea",NA,NA,NA,4.53415794774512,NA,4.25892200693207
"Otu01681","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified",NA,NA,NA,5.39222108176749,NA,4.39678726451978
"Otu01683","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.32544704411176,NA,5.14532526227758
"Otu01717","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.25153364473749,NA,NA
"Otu01762","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriales_unclassified","Sphingobacteriales_unclassified",NA,NA,NA,4.1491946218473,NA,NA
"Otu01874","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified",NA,NA,NA,4.0212541933597,NA,NA
"Otu01877","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.72072791203671,NA,NA
"Otu02260","candidate_division_WPS-2","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified",NA,NA,NA,4.54576130524608,NA,NA
"Otu02322","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",NA,NA,NA,4.80143630674556,NA,NA
"Otu02391","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",NA,NA,NA,4.96238355233329,NA,NA
"Otu02800","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.65730311853413,NA,NA
"Otu03022","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.70624479242047,NA,NA
"Otu03151","Bacteroidetes","Bacteroidetes_incertae_sedis","Ohtaekwangia","Ohtaekwangia_unclassified","Ohtaekwangia_unclassified",NA,NA,NA,4.36839598372363,NA,NA
"Otu03497","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,NA,4.14399343962552,NA,NA
"Otu00122","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium",NA,NA,NA,NA,4.08944001399127,NA
"Otu01673","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,NA,4.05108365729484,NA
"Otu02419","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Polyangiaceae_unclassified",NA,NA,NA,NA,NA,4.36658972743509
